SAMPLE_ID,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B,LAB_C,LAB_H,D_RED,D_GREEN,D_BLUE,D_VIS,STDEV_X,STDEV_Y,STDEV_Z,MEAN_DE,STDEV_DE,R,G,B,dR,dG,dB
J13,20.77,31.1,51.46,62.59,-39.04,-35.37,52.68,222.17,1.14,0.34,0.21,0.59,0.12,0.14,0.1,0.15,0.18,20.3267,66.2707,90.0646,0.47575,0.44189,0.625693
J14,31.44,17.24,34.97,48.56,65.84,-38.91,76.48,329.42,0.4,1.14,0.41,0.69,0.06,0.05,0.1,0.15,0.18,80.4726,29.8093,77.5465,0.605297,0.419108,0.792282
J15,58.68,58.03,6.42,80.75,6.68,81.45,81.72,85.31,0.13,0.31,1.06,0.21,0.08,0.07,0.05,0.18,0.25,99.9998,75.6981,17.698,0.0184762,0.452773,0.893036
J16,3.53,3.65,3.13,22.46,0.18,-0.91,0.93,280.95,1.4,1.44,1.39,1.44,0.02,0.03,0.06,0.35,0.4,24.8957,20.2532,22.5498,0.601721,0.673767,0.594281
J17,23.95,14.09,3.39,44.37,54.11,35.05,64.47,32.93,0.43,1.31,1.35,0.74,0.06,0.06,0.02,0.2,0.23,79.2218,22.3693,22.3201,0.422241,0.475425,0.648197
J18,11.6,21.11,5.53,53.07,-50.87,37.83,63.39,143.36,1.16,0.53,1.11,0.72,0.07,0.09,0.1,0.38,0.44,21.9663,52.9639,20.6416,0.748266,0.391214,0.655938
J19,8.39,5.64,29.01,28.5,29.74,-64.43,70.97,294.78,1.39,1.26,0.49,1.32,0.04,0.06,0.08,0.27,0.38,19.5488,25.3263,68.4047,0.586349,0.506385,0.551766
J20,32.1,41.23,24.6,70.33,-25.61,15.25,29.8,149.22,0.54,0.32,0.51,0.41,0.16,0.14,0.16,0.29,0.38,50.5049,69.3559,50.6439,0.705666,0.774067,0.703997
J21,4.79,8.91,1.62,35.81,-39.51,35.36,53.02,138.17,1.55,0.9,1.62,1.09,0.02,0.03,0.01,0.16,0.2,16.1046,34.5296,15.6816,0.588098,0.574537,0.69865
J22,1.55,2.46,1.02,17.73,-19.22,11.98,22.64,148.07,1.91,1.48,1.83,1.65,0.03,0.04,0.04,0.39,0.45,14.8567,19.829,17.8832,0.532125,0.595991,0.671255
K1,5.84,4.92,6.03,26.51,13.07,-10.3,16.64,321.74,1.15,1.39,1.13,1.29,0.03,0.03,0.07,0.25,0.29,29.4265,20.2851,30.9809,0.5512,0.593383,0.677383
K2,7.16,4.88,8.37,26.4,27.36,-20.18,34,323.58,1.04,1.52,1,1.27,0.05,0.05,0.11,0.35,0.41,33.7711,18.4222,36.128,0.54279,0.610645,0.649028
K3,8.5,4.78,10.92,26.09,41.07,-29.34,50.47,324.46,0.96,1.69,0.9,1.26,0.07,0.04,0.06,0.19,0.23,38.4311,16.4432,41.0928,0.553561,0.81066,0.683804
K4,9.52,4.63,13.05,25.65,51.61,-36.34,63.12,324.85,0.92,1.88,0.84,1.25,0.06,0.03,0.07,0.24,0.32,41.6969,15.5761,45.4275,0.547713,0.62613,0.667628
K5,16.95,15.48,16.4,46.29,11.61,-9.32,14.89,321.24,0.71,0.86,0.7,0.8,0.09,0.09,0.13,0.37,0.45,47.0597,34.3663,47.4886,0.576839,0.470755,0.673061
K6,19.2,15.51,20.15,46.32,23.34,-17.56,29.2,323.04,0.64,0.91,0.62,0.79,0.08,0.08,0.09,0.27,0.32,53.3427,32.6489,53.972,0.644912,0.43438,0.697016
K7,21.86,15.77,24.4,46.68,34.72,-25.18,42.89,324.05,0.57,0.96,0.55,0.77,0.1,0.07,0.11,0.36,0.43,59.5702,31.4756,61.3178,0.536206,0.383452,0.662275
K8,27.64,15.38,34.35,46.15,61.8,-42.18,74.82,325.69,0.46,1.16,0.41,0.74,0.06,0.06,0.11,0.18,0.22,72.3053,28.095,76.5328,0.491185,0.629128,0.842063
K9,44.37,43.84,40.93,72.12,6.18,-6.38,8.88,314.11,0.32,0.37,0.31,0.36,0.24,0.22,0.19,0.27,0.32,76.209,65.0852,75.6853,0.575768,0.575247,0.757689
